"department","education","gender","age","previous_year_rating","length_of_service","KPIs_met >80%","avg_training_score","is_promoted"
"Sales & Marketing","Master's & above","Female",35.0,5.0,8.0,1.0,49.0,0.0
"Operations","Bachelor's","Male",30.0,5.0,4.0,0.0,60.0,0.0
"Sales & Marketing","Bachelor's","Male",34.0,3.0,7.0,0.0,50.0,0.0
"Sales & Marketing","Bachelor's","Male",39.0,1.0,10.0,0.0,50.0,0.0
"Technology","Bachelor's","Male",45.0,3.0,2.0,0.0,73.0,0.0
"Analytics","Bachelor's","Male",31.0,3.0,7.0,0.0,85.0,0.0
"Operations","Bachelor's","Female",31.0,3.0,5.0,0.0,59.0,0.0
"Operations","Master's & above","Male",33.0,3.0,6.0,0.0,63.0,0.0
"Analytics","Bachelor's","Male",28.0,4.0,5.0,0.0,83.0,0.0
"Sales & Marketing","Master's & above","Male",32.0,5.0,5.0,1.0,54.0,0.0
"Sales & Marketing","Bachelor's","Female",35.0,5.0,3.0,1.0,50.0,1.0
"Sales & Marketing","Bachelor's","Male",49.0,5.0,5.0,1.0,49.0,0.0
"Technology","Master's & above","Male",39.0,3.0,16.0,0.0,80.0,0.0
"R&D","Master's & above","Male",37.0,3.0,7.0,0.0,84.0,0.0
"Operations","Bachelor's","Male",37.0,1.0,10.0,0.0,60.0,0.0
"Technology","Bachelor's","Male",38.0,3.0,5.0,1.0,77.0,0.0
"Sales & Marketing","Bachelor's","Male",34.0,1.0,4.0,0.0,51.0,0.0
"Sales & Marketing","Bachelor's","Male",34.0,5.0,8.0,1.0,46.0,0.0
"Operations","Bachelor's","Male",37.0,3.0,9.0,0.0,59.0,0.0
"Procurement","Bachelor's","Male",35.0,3.0,7.0,0.0,75.0,0.0
"Finance","Bachelor's","Female",28.0,3.0,4.0,0.0,63.0,0.0
"Finance","Master's & above","Male",39.0,5.0,7.0,0.0,59.0,0.0
"Technology","Bachelor's","Male",27.0,5.0,3.0,1.0,83.0,0.0
"Procurement","Bachelor's","Male",31.0,5.0,4.0,1.0,68.0,0.0
"Technology","Bachelor's","Male",33.0,4.0,4.0,0.0,79.0,0.0
"Analytics","Bachelor's","Male",29.0,5.0,3.0,1.0,80.0,0.0
"Procurement","Bachelor's","Male",37.0,5.0,10.0,1.0,72.0,0.0
"Finance","Bachelor's","Male",26.0,1.0,2.0,0.0,61.0,0.0
